Make,Model,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CHEVROLET,SSR,,,,,,8107,3803,244,2,,,,,,,,,,,,,,,,,,
CHEVROLET,SUBURBAN,,,,,,87011,77211,83673,54058,41055,45153,49427,51420,51260,55009,51166,60082,56516,60633,51928,33644,85159,50951,52822,44400,58683,
CHEVROLET,SUV0C Total,,,,,,,,,,,,,,285795,277610,277644,242195,290458,332618,346048,305284,258239,300051,,,,
CHEVROLET,Silverado,,,,,,,,,,,,,,480414,529755,600544,574876,585864,585581,570639,586675,519774,513354,,,,
CHEVROLET,Sonic,,,,,,,,,,,,,,85646,93518,64775,55255,30290,20613,13971,13007,1581,6,,,,
CHEVROLET,Spark,,,,,,,,,,,,,,34130,39159,32853,35511,22589,23602,31281,33478,24459,13710,,,,
CHEVROLET,TACUMA,2986,12049,11423,10191,10684,11398,8484,5853,3330,509,,,,,,,,,,,,,,,,,
CHEVROLET,TAHOE,,,,,,152305,161491,146256,91578,73254,75675,80527,73116,83502,97726,88342,103306,98961,104152,101189,88237,106019,105754,110326,105148,114201,
CHEVROLET,TRAILBLAZER,,,,,,244150,174797,134626,75878,8829,218,33,,,,,,,,,34292,90163,60888,111014,104400,101358,
CHEVROLET,TRAVERSE,,,,,,,,,9456,91074,106744,107131,93572,96467,103943,119945,116701,123506,146264,147122,125546,116251,96964,116136,105835,148278,
CHEVROLET,TRAX,,,,,,,,,,,,,,,739,63030,79016,79289,89917,116817,106299,42590,26598,109383,200688,203341,
CHEVROLET,Tahoe,,,,,,,,,,,,,,83502,97726,88342,103306,98961,104153,101189,88238,106030,105756,,,,
CHEVROLET,Trailblazer,,,,,,,,,,,,,,,,,,,,,34290,90161,60888,,,,
CHEVROLET,Traverse,,,,,,,,,,,,,,96467,103943,119945,116701,123506,146534,147122,125546,116250,96965,,,,
CHEVROLET,Trax (Tracker),,,,,,,,,,,,,,,739,63030,79016,79289,89916,116816,106299,42590,26597,,,,
CHEVROLET,UPLANDER AND VENTURE,,,,,,80009,58895,69910,40456,1778,76,,,,,,,,,,,,,,,,
CHEVROLET,VOLT,,,,,,,,,,,,7671,24384,23094,18805,15393,24739,20349,18306,4911,68,,,,,,
CHEVROLET,Volt,,,,,,,,,,,,,,23094,18805,15393,24739,20349,18306,4910,71,16,,,,,
CHRYSLER,200,,,,,,,,,,,,86987,135193,122480,117363,177889,62185,18457,1043,48,9,15,3,3,,,
CHRYSLER,200 Series,,,,,,,,,,,,,,122480,117363,177889,57294,18457,1043,48,9,15,2,,,,
CHRYSLER,300,,,,,,144048,143647,120636,62352,38606,37116,36285,78417,57724,53382,53109,53058,51237,46593,29214,16473,16662,14087,13169,5297,574,
CHRYSLER,300 series,,,,,,,,,,,,,,57724,53382,53109,53241,51237,46593,29213,16653,16662,14087,,,,
CHRYSLER,ASPEN,,,,,,,7656,28788,22254,5996,30,,,,,,,,,,,,,,,,
CHRYSLER,CONCORDE,50206,32331,31611,28519,4223,210,,,,,,,,,,,,,,,,,,,,,
CHRYSLER,CROSSFIRE,,,,,,14665,8216,8774,2021,499,,,,,,,,,,,,,,,,,
CHRYSLER,LHS,20982,8852,552,,,,,,,,,,,,,,,,,,,,,,,,
CHRYSLER,N/A (Class 5),,,,,,,,,,,,,,10901,14401,15812,15737,17203,15934,16467,15795,24930,20139,,,,
CHRYSLER,PACIFICA,,,,,,85557,78243,53947,7345,1955,,,,,,,61525,118274,118322,97706,84113,74970,98624,120665,109339,110006,
CHRYSLER,PROWLER,2631,2187,1328,516,,,,,,,,,,,,,,,,,,,,,,,
CHRYSLER,PT CRUISER,,,,,,132159,138650,99585,50910,17941,9440,1328,,,,,,,1,,,,,,,,
CHRYSLER,Pacifica,,,,,,,,,,,,,,,,,62366,118274,118322,97705,93802,98323,98624,,,,
CHRYSLER,SEBRING,62616,118459,112367,100109,104094,84015,69357,93130,71663,27460,39585,2426,,,,,,,,,,,,,,,
CHRYSLER,TOWN & COUNTRY,,,,,,180759,159105,138151,117663,84558,112275,94320,121365,122288,138040,93848,62724,577,5,4,9690,23355,,2,,,
CHRYSLER,Town & Country,,,,,,,,,,,,,,122288,138040,93848,59071,577,6,5,,4,,,,,
CHRYSLER,VOYAGER,97218,45445,37392,1093,1834,,,,,,,,,,,,,,,,,,,,10050,15793,
DODGE,AVENGER,,,,,,,,84404,61963,38922,50989,64023,103460,93242,51705,1268,3,14,4,1,,,,,,,
DODGE,Avenger,,,,,,,,,,,,,,93842,51705,1268,45,14,4,1,,,2,,,,
DODGE,CALIBER,,,,,,,92224,101079,84158,36098,45082,35049,12023,45,,,,,,,,,,,,,
DODGE,CHALLENGER,,,,,,,,,17423,25852,36791,39534,46788,51462,51611,66365,64478,64537,66716,60997,52955,54315,55245,44961,27054,1801,
DODGE,Caliber,,,,,,,,,,,,,,45,,,,,,,,,,,,,
DODGE,Caravan,,,,,,,,,,,,,,124019,134152,97141,127678,125196,151927,122648,38767,3037,27,,,,
DODGE,Challenger,,,,,,,,,,,,,,51462,51611,66365,64433,64537,66716,60997,52955,54314,55060,,,,
DODGE,Charger,,,,,,,,,,,,,,98336,94099,94725,95437,88351,80226,96935,77425,78389,80074,,,,
DODGE,DAKOTA,177395,154479,130712,111273,105614,104051,76098,50902,26044,10680,13047,12156,629,,,,,,,,,,,,,,
DODGE,DART,,,,,,,,,,,,,25303,83388,83858,87392,44050,10082,389,16,5,10,5,3,,6,
DODGE,DURANGO,,,,,,115439,70606,45503,21420,3521,572,51697,46024,60727,64398,64186,68691,68761,65947,67598,57828,65936,55510,69195,59358,81167,
DODGE,Dart,,,,,,,,,,,,,,83388,83858,87392,43402,10082,389,15,7,10,4,,,,
DODGE,Durango,,,,,,,,,,,,,,60727,64398,64186,68474,68761,65947,67599,57828,65935,55433,,,,
DODGE,GRAND CARAVAN,,,,,,226771,211140,176150,123749,90666,103313,110962,154136,124019,134152,97141,125375,125196,151927,122648,38765,3037,27,25,2,,
DODGE,HORNET,,,,,,,,,,,,,,,,,,,,,,,,9314,20559,9367,
DODGE,INTREPID,,,,,,285,,,,,,,,,,,,,,,,,,,,,
DODGE,JOURNEY,,,,,,,,,47097,53826,48577,55155,85811,83933,93572,105400,106223,89470,94096,74687,40341,14034,194,34,,13,
DODGE,Journey,,,,,,,,,,,,,,83933,93572,105400,106759,89470,94096,74686,40342,14035,194,,,,
DODGE,MAGNUM,,,,,,52487,40095,30166,6912,113,,,,,,,,,,,,,,,,,
DODGE,NEON,,,,,,113332,17239,,,,,,,,,,,,,,,,,,,,
DODGE,NITRO,,,,,,,16990,74825,36368,17443,22618,24434,4200,,,,,,,,,,,,,,
